price,sqft_living
281194.8698060942,1903.7839335180056
234284.0351758794,1627.7437185929648
294111.27857142856,1928.8821428571428
1356523.9905362776,2909.0220820189274
810289.6964285715,2656.8035714285716
859938.5542168674,2888.2951807228915
617254.0212765958,2182.0567375886526
645628.2261484099,2133.4452296819786
423665.99,2137.59
490377.1076923077,2253.097435897436
455617.1129032258,2117.967741935484
424815.06315789477,2171.557894736842
316742.3905579399,1837.3133047210301
286742.81162324647,1989.7294589178357
586120.875,2363.0625
617053.9660194175,2514.609223300971
462488.8692579505,2122.7243816254418
612642.738317757,2284.2056074766356
296187.98046875,1962.5
300340.40293040295,1929.6923076923076
251296.24,1738.048
803990.8194444445,2381.340277777778
521740.0146788991,1978.656880733945
367091.48387096776,2148.288624787776
2161300.0,3800.9
1194873.6382978724,3106.8333333333335
311580.33638025593,1981.6965265082267
440232.31363636366,2070.4772727272725
645244.2264808363,2363.6550522648085
677215.034739454,2620.238213399504
304262.1082089552,1784.6716417910447
420895.47536945814,2017.0960591133005
353619.07472527475,2049.630769230769
493625.3098290598,2403.653846153846
529629.7824675324,2578.409090909091
489382.0170940171,1893.059829059829
570073.5201465201,2371.673992673993
685675.8435374149,2645.8707482993195
790734.704735376,3016.3704735376045
682885.9898989899,2857.0454545454545
334921.0626780627,2195.6609686609686
899607.6730769231,2151.048076923077
585048.7790697674,1650.8305647840532
863228.9432314411,2150.5764192139736
319581.3940298507,1487.8835820895522
579109.8082706766,1579.548872180451
355678.51612903224,1704.6236559139784
880077.752293578,2054.7798165137615
1096239.0074349442,2498.7434944237916
619944.1492281304,1835.295025728988
618695.1090909091,1853.3696969696969
576834.808318264,1692.0397830018082
418019.36094674555,1689.3037475345168
849714.8097826086,2005.6141304347825
634558.1448275862,1785.048275862069
469928.76772616134,1746.278728606357
424734.60451977403,1543.59604519774
387011.5902636917,1614.762677484787
551768.5209125475,1726.828897338403
594706.5422740525,1912.1107871720117
359496.2604166667,1621.451388888889
284908.5964912281,1610.5263157894738
423736.9058295964,1786.6143497757848
464322.38976377953,2067.9055118110236
240328.3717472119,1468.6245353159852
676419.3921568628,2323.3333333333335
310612.75572519086,1729.351145038168
289078.3455882353,1802.7720588235295
302896.7392857143,1745.3607142857143
792187.8738170346,2161.7981072555203
